SKU;Producto;Categoría;Variante;Precio (₲);Precio antes (₲);Stock;Descripción;Marca;IVA;Slug;Fotos
LI-TAC-M;Bralette Tacurú;Corpiños;Talle M;110000;;4;;;10;bralette-tacuru;
LI-TAC-L;Bralette Tacurú;Corpiños;Talle L;110000;;3;;;10;bralette-tacuru;
LI-AOP-S;Bombacha Ao Po'i Clásica;Bombachas;Talle S;45000;;6;Bombacha clásica en algodón ao po'i beige con puntilla fina en la cintura. Cómoda para todos los días, hecha a mano.;Lencería Íntima;10;bombacha-ao-poi-clasica;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165433_31970ace-9d6a-416e-b96c-f5826a55b324.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165433_753da14a-7fb1-48ad-8f52-10454ef9e4e6.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_efa18ea5-00bb-49af-b044-27370855eab2.png
LI-AOP-M;Bombacha Ao Po'i Clásica;Bombachas;Talle M;45000;;8;;;10;bombacha-ao-poi-clasica;
LI-AOP-L;Bombacha Ao Po'i Clásica;Bombachas;Talle L;45000;;6;;;10;bombacha-ao-poi-clasica;
LI-PAK-S;Pack Diario x3 sin costura;Bombachas;Talle S;89000;;5;Tres bombachas tiro alto sin costura, en nude, negro y rosa viejo. Bordes cortados a láser que no marcan bajo la ropa y tela suave que acompaña todo el día.;Lencería Íntima;10;pack-diario-sin-costura;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_162358_8b017ba1-9cd7-4f99-b676-cd5b32a888f4.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_164047_5ac41cbc-16d5-4a40-8785-c1ada2495e83.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_164047_9516b458-dc12-4ec2-91b4-a8632382b270.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_162531_87e8a259-1d57-4cd7-9fc6-efc42c88757e.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_164046_6000dac8-8066-4049-b0cc-3a0c59720e04.png
LI-PAK-M;Pack Diario x3 sin costura;Bombachas;Talle M;89000;;8;;;10;pack-diario-sin-costura;
LI-PAK-L;Pack Diario x3 sin costura;Bombachas;Talle L;89000;;8;;;10;pack-diario-sin-costura;
LI-PAK-XL;Pack Diario x3 sin costura;Bombachas;Talle XL;89000;;5;;;10;pack-diario-sin-costura;
LI-LUN-S;Camisón Luna;Camisones y pijamas;Talle S;150000;;3;Camisón de satén rosa viejo con breteles finos y escote de encaje. Suave, fresco y hecho a mano.;Lencería Íntima;10;camison-luna;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165434_45282eba-a637-4e20-b4b6-e95d2fcddeba.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165433_00eeba7e-c695-4cfc-95d6-9a25a5cd9899.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_4edf8286-d6a2-4e65-8869-e5e292a62578.png
LI-LUN-M;Camisón Luna;Camisones y pijamas;Talle M;150000;;4;;;10;camison-luna;
LI-LUN-L;Camisón Luna;Camisones y pijamas;Talle L;150000;;3;;;10;camison-luna;
LI-YSA-S;Pijama Ysapy;Camisones y pijamas;Talle S;135000;;3;Musculosa y short de algodón lila con borde de puntilla. Para dormir fresca, hecho a mano.;Lencería Íntima;10;pijama-ysapy;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165453_6c08b5a4-887b-45c4-a244-32481294fda4.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165509_5b628f1a-2c59-4bee-8b86-7eb1e754bf21.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_9b8b8b94-01f3-4488-935f-b40c9dcf5f60.png
LI-YSA-M;Pijama Ysapy;Camisones y pijamas;Talle M;135000;;4;;;10;pijama-ysapy;
LI-YSA-L;Pijama Ysapy;Camisones y pijamas;Talle L;135000;;3;;;10;pijama-ysapy;
LI-JAZ-S;Body Jazmín;Bodies;Talle S;165000;;2;Body de encaje negro floral con transparencias y breteles finos regulables. Para una noche especial o debajo de un blazer.;Lencería Íntima;10;body-jazmin;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165505_76f1ec99-9747-4f7a-b4ff-cf9deac3c95c.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165456_5bf4e751-16bd-4305-a2d6-0d90966b0855.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_f57b30dd-070e-4ca1-8f59-7bdc9177cc22.png
LI-JAZ-M;Body Jazmín;Bodies;Talle M;165000;;3;;;10;body-jazmin;
LI-JAZ-L;Body Jazmín;Bodies;Talle L;165000;;2;;;10;body-jazmin;
LI-MBU-U;Kimono Mburucuyá;Batas y kimonos;Talle único;190000;;4;Bata corta de gasa marfil con flores de mburucuyá bordadas a mano en las mangas y cinto de satén. Talle único.;Lencería Íntima;10;kimono-mburucuya;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165456_449a543b-60e9-4c65-85a0-43e03be1a317.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165502_d8d64d7c-4b70-499a-bc7e-3a98577ec83a.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_78f6c02a-f679-4bf5-bea3-909cb406ccd2.png
LI-LIG-U;Liga Nupcial Ñandutí;Accesorios;Talle único;60000;;5;Liga de novia en marfil con encaje ñandutí y un moñito de satén. El detalle paraguayo para el gran día. Talle único.;Lencería Íntima;10;liga-nupcial-nanduti;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165434_209b70d6-7fd7-4f88-bff3-780f1873ae52.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_165433_467b2dc6-ce12-463c-913d-0bd9653defbb.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260913_194134_ab7e3a33-2b37-4bdd-a30b-cab4c0dae4e9.png
LI-CAJ-S;Caja Regalo Ñandutí;Accesorios;Conjunto talle S;229000;245000;2;El Conjunto Ñandutí y la Liga Ñandutí en una caja de regalo con papel de seda, cinta de satén y tarjeta para tu dedicatoria. Para el Día de la Madre, un aniversario o una novia.;Lencería Íntima;10;caja-regalo-nanduti;https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_162359_78a9ddfd-5156-42a4-aca0-5e1792553a54.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_164047_b1539e21-ddf8-4cc8-b011-1c4fa67cc8d1.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_162529_78fa28c4-491d-44c6-9ea3-3b3f1124eaa4.png | https://d8j0ntlcm91z4.cloudfront.net/user_349VrHjTFIpx9q71lpfpAXcLXvR/hf_20260923_164047_31d3d254-7e5f-42ee-bf6e-0b448e1c796a.png
LI-CAJ-M;Caja Regalo Ñandutí;Accesorios;Conjunto talle M;229000;245000;3;;;10;caja-regalo-nanduti;
LI-CAJ-L;Caja Regalo Ñandutí;Accesorios;Conjunto talle L;229000;245000;2;;;10;caja-regalo-nanduti;
